uf,populacao,denuncias,vitimas,municipios_com_registro,escolas,escolas_internet,escolas_banda_larga,escolas_internet_alunos,escolas_internet_aprendizagem,escolas_lab_informatica,equipamentos_alunos,matriculas,perc_escolas_internet,perc_escolas_banda_larga,perc_escolas_internet_alunos,perc_escolas_internet_aprendizagem,perc_escolas_lab_informatica,equipamentos_por_100_matriculas,taxa_denuncias_100mil,deficit_internet_escolar,deficit_banda_larga_escolar,n_taxa_denuncias,n_deficit_internet,n_deficit_banda_larga,eixo_vulnerabilidade,eixo_protecao,periodo_denuncias,ano_populacao,ano_censo_escolar,nota_metodologica
AC,884372.0,691,990.0,22,1523,738.0,525.0,264.0,422.0,160.0,9509.0,248340.0,48.456992777413,34.47143795141169,17.334208798424164,27.708470124753774,10.505581089954038,3.8290247241684794,78.1345406684065,51.543007222587,65.52856204858831,13.661885179360606,100.0,100.0,56.830942589680305,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AL,3220848.0,3614,5245.0,98,2937,2777.0,2538.0,1061.0,1919.0,635.0,109278.0,863732.0,94.55226421518556,86.414708886619,36.12529792305073,65.33878106911814,21.62070139598229,12.651841080335103,112.20647481657005,5.447735784814441,13.585291113381004,42.05410439007406,12.584898268492127,15.472040837988157,28.0412869716571,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AM,4321616.0,6546,10183.0,59,5542,3218.0,2389.0,1090.0,1908.0,985.0,572656.0,1153833.0,58.065680259834,43.10718152291592,19.66798989534464,34.42800433056658,17.773367015517863,49.63075245724468,151.47111636017638,41.934319740166,56.89281847708408,74.77341833005609,100.0,100.0,87.38670916502804,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
AP,806517.0,487,684.0,12,877,593.0,419.0,158.0,262.0,121.0,4879.0,213712.0,67.61687571265678,47.77651083238312,18.015963511972632,29.874572405929303,13.79703534777651,2.282978962341843,60.3831041379165,32.38312428734322,52.22348916761688,0.0,79.28562579740218,92.30569465411095,42.89783011287828,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
BA,14870907.0,14736,20633.0,386,16094,14816.0,12189.0,5834.0,9899.0,2344.0,1423112.0,3416549.0,92.0591524791848,75.73629924195352,36.24953398782155,61.5073940598981,14.564433950540574,41.653493042248186,99.09281256348386,7.940847520815197,24.263700758046483,31.126460196885525,18.758648707863077,36.70649977402096,29.429517218913773,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
CE,9268836.0,8561,12608.0,177,7719,7593.0,6408.0,3370.0,5431.0,2456.0,915847.0,2132934.0,98.36766420520792,83.0159347065682,43.65850498769271,70.35885477393445,31.81759295245498,42.93836565032017,92.36326977842741,1.632335794792084,16.984065293431797,25.518717087547063,3.1367347447176335,22.230643772385886,19.101203173049413,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
DF,2996899.0,5157,7362.0,1,1325,1319.0,1294.0,554.0,849.0,589.0,741655.0,629593.0,99.54716981132076,97.66037735849056,41.81132075471698,64.0754716981132,44.45283018867924,117.79911784279686,172.07787115948852,0.4528301886792434,2.339622641509436,91.94507336259045,0.21589764430720762,0.0,46.026511092372026,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
ES,4126854.0,6699,10238.0,76,3064,2963.0,2658.0,1559.0,2486.0,1048.0,724437.0,869379.0,96.70365535248042,86.74934725848564,50.88120104438642,81.13577023498695,34.20365535248042,83.32809971255344,162.32704137340454,3.2963446475195752,13.250652741514358,83.8196850130778,7.257358476617786,14.806598604333733,47.42583177677678,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
GO,7423629.0,8734,12403.0,198,4746,4730.0,4387.0,2355.0,3811.0,1817.0,1979856.0,1550149.0,99.66287399915718,92.43573535608934,49.62073324905183,80.29919932574799,38.284871470712176,127.7203675259604,117.65135353612095,0.3371260008428152,7.564264643910661,46.59133404979887,0.0,3.4989808437403185,24.17041223583451,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
MA,7018211.0,3488,5133.0,176,11357,8924.0,7193.0,2844.0,4545.0,1119.0,740913.0,1850984.0,78.57708901998767,63.33538786651405,25.041824425464476,40.0193713128467,9.852954125209122,40.02806075039006,49.69927521415358,21.422910980012333,36.66461213348595,0.0,52.14459527532978,61.36622459575031,28.377704967770022,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
MG,21393441.0,32129,47556.0,764,15843,15260.0,14220.0,7319.0,10754.0,6850.0,3927230.0,4294157.0,96.3201413873635,89.75572808180269,46.19705863788424,67.87855835384713,43.23676071451114,91.45520296533172,150.18154396013244,3.679858612636494,10.244271918197313,73.69881475425332,8.207063007086834,8.828286078114653,41.10824464842703,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
MS,2924631.0,4279,6367.0,72,1841,1835.0,1681.0,966.0,1461.0,824.0,477084.0,679596.0,99.67409016838674,91.3090711569799,52.47148288973384,79.35904399782727,44.7582835415535,70.20111948863736,146.30905574070712,0.32590983161325937,8.690928843020103,70.47186162800247,0.0,5.739399170699641,36.670780606676146,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
MT,3893659.0,2576,3533.0,120,2722,2670.0,2145.0,1467.0,2240.0,806.0,1719927.0,898482.0,98.08963997060984,78.80235121234386,53.89419544452608,82.29243203526819,29.610580455547392,191.42587163682745,66.15884955513567,1.9103600293901621,21.197648787656135,3.682514891510216,3.8252126078314013,30.60952870553224,10.44994277409602,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
PA,8711196.0,5654,8366.0,141,10591,7049.0,5654.0,1922.0,3361.0,1741.0,560777.0,2206871.0,66.55651024454725,53.38494948541214,18.14748371258616,31.73449154942876,16.438485506562177,25.410502018468684,64.90497975249323,33.443489755452745,46.61505051458786,2.6376623702676842,81.91143340967398,81.15308258584311,42.08496018401311,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
PB,4164468.0,4848,6705.0,182,4653,4357.0,3457.0,1436.0,2383.0,1056.0,327580.0,949125.0,93.63851278744896,74.29615301955728,30.86180958521384,51.21427036320653,22.69503546099291,34.513894376399314,116.4134290382349,6.36148721255104,25.70384698044272,45.55976878680402,14.847642130712249,39.57029006105425,36.384367441343635,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
PE,9562007.0,10859,15694.0,176,8013,7509.0,6560.0,3101.0,5335.0,1826.0,798108.0,2121954.0,93.71022089105205,81.86696617995757,38.69961312866592,66.57930862348684,22.78796954948209,37.61193692228955,113.56402479102975,6.289779108947954,18.133033820042428,43.185353831234295,14.67006968992138,24.515415176458752,31.38904813221218,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
PI,3384547.0,2845,4191.0,149,4179,3908.0,3137.0,1376.0,2343.0,759.0,471695.0,829549.0,93.51519502273273,75.06580521655899,32.92653744915052,56.066044508255565,18.16223977027997,56.86161998869265,84.05851654593657,6.484804977267274,24.934194783441015,18.598347576311966,15.153016772813272,38.0398048562256,22.5973791954157,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
PR,11890517.0,13287,18909.0,357,9573,9496.0,7354.0,4956.0,8353.0,4103.0,2423024.0,2498963.0,99.19565444479264,76.82022354538807,51.77060482607333,87.25582367074063,42.86012744176329,96.96117949725546,111.7445103522412,0.8043455552073624,23.179776454611925,41.669148364925974,1.0863633026293735,34.55107149612686,29.743932882152045,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
RJ,17223547.0,34718,51694.0,92,11761,11552.0,11167.0,4803.0,7760.0,4242.0,2316301.0,3421235.0,98.22294022617125,94.94940906385511,40.838364084686674,65.98078394694329,36.06836153388317,67.70365087461107,201.57288159053417,1.7770597738287535,5.050590936144886,100.0,3.495118092027374,0.0,50.873779523006846,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
RN,3455236.0,4565,6522.0,144,3462,3323.0,2682.0,1614.0,2253.0,938.0,578053.0,783190.0,95.98497978047372,77.46967071057192,46.62045060658579,65.07798960138648,27.09416522241479,73.80750520307971,132.1183270838808,4.015020219526278,22.53032928942808,58.6466955827669,9.03703147096135,33.259618965355244,39.8975104004626,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
RO,1751950.0,1590,2143.0,44,1243,1184.0,949.0,629.0,923.0,537.0,287820.0,383849.0,95.25341914722446,76.34754625905069,50.60337892196299,74.25583266291231,43.20193081255028,74.98261034938218,90.75601472644767,4.746580852775537,23.652453740949312,24.17938784474871,10.84861204143111,35.491009816599586,23.67459938688203,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
RR,738772.0,508,806.0,13,911,565.0,417.0,253.0,328.0,106.0,279288.0,185657.0,62.019758507135016,45.77387486278815,27.77167947310648,36.004390779363334,11.63556531284303,150.43224871671956,68.76275765730158,37.980241492864984,54.22612513721185,5.852357358326324,93.14589700298853,96.28801905214812,50.28465769294732,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
RS,11233263.0,16440,23687.0,381,10000,9843.0,8282.0,5477.0,7845.0,3906.0,3367838.0,2227679.0,98.43,82.82,54.77,78.45,39.06,151.18147632580815,146.35106469064243,1.5699999999999932,17.180000000000007,70.5068677802857,2.982371169700516,22.620268034725807,41.65409369124943,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
SC,8187029.0,12155,17339.0,273,6710,6681.0,6171.0,3415.0,5777.0,2461.0,8095355.0,1768874.0,99.5678092399404,91.9672131147541,50.89418777943368,86.09538002980626,36.67660208643815,457.6558307714399,148.4665560608128,0.4321907600595978,8.032786885245898,72.26971148792674,0.16478774832103593,4.43065668549089,37.283716852416354,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
SE,2299425.0,2729,3988.0,67,2045,2000.0,1843.0,1038.0,1376.0,462.0,835041.0,526786.0,97.799511002445,90.12224938875306,50.75794621026895,67.28606356968216,22.591687041564796,158.51617165224587,118.68184437413701,2.2004889975549986,9.877750611246938,47.4500443783747,4.543665703541892,8.099443310267958,26.88579944263981,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
SP,46081801.0,85660,125580.0,618,30746,30337.0,28059.0,15479.0,25662.0,11284.0,9393402.0,9998443.0,98.66974565797176,91.26065179210303,50.34476029402199,83.46451570936057,36.70070903532167,93.94864780446316,185.8868319838454,1.3302543420282404,8.739348207896967,100.0,2.388683434061884,5.835683079015537,52.05609162826935,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
TO,1586859.0,1037,1389.0,103,1588,1531.0,1417.0,776.0,1234.0,336.0,22439.0,385307.0,96.41057934508817,89.23173803526448,48.86649874055416,77.70780856423174,21.15869017632242,5.8236678804174336,65.3492213233816,3.5894206549118337,10.768261964735515,3.0078498685272748,7.983109393947105,9.870261943094116,5.967267768523943,,2025,2025,2024,"Índice experimental multianual: denúncias 2025, população 2025 e infraestrutura escolar 2024. Não é ranking nem estimativa de prevalência."
